Transaction,Item,date_time
512,_Lmm_tv,2024-05
512,_tt_160,2024-05
512,_tt_L120L,2024-05
512,_tt_120,2024-05
513,_tt_90,2024-05
514,_tt_120,2024-05
515,_tt_180,2024-05
516,_tt_160,2024-05
517,_tt_140,2024-05
518,_tt_180,2024-05
518,_tt_180,2024-05
519,_tt_120,2024-05
520,_tt_180,2024-05
521,_tt_180,2024-05
522,_tt_140,2024-05
523,_tt_200,2024-05
524,_tt_A+B100,2024-05
525,_tt_160,2024-05
525,_tt_160,2024-05
526,_tt_200,2024-05
527,_tt_200,2024-05
528,_tt_A+B90,2024-06
529,_tt_140,2024-06
530,_tt_100,2024-06
530,_tt_100,2024-06
530,_tt_100,2024-06
530,_tt_100,2024-06
531,_tt_140,2024-06
532,_tt_160,2024-06
533,_tt_140,2024-06
534,_tt_160,2024-06
535,_tt_120,2024-06
536,_tt_180,2024-06
537,_tt_180,2024-06
538,_tt_120,2024-06
538,_tt_180,2024-06
539,_tt_180,2024-06
540,_tt_160,2024-06
541,_set_tamu_2111,2024-06
542,_tt_90,2024-06
542,_tt_180,2024-06
542,_tt_180,2024-06
542,_tt_180,2024-06
543,_tt_160,2024-06
544,_tt_200,2024-06
545,_tt_120,2024-06
545,_tt_120,2024-06
546,_tt_180,2024-06
547,_tt_140,2024-06
548,_tt_120,2024-06
549,_meja_tv_100,2024-06
550,_meja_rias,2024-06
551,_tt_200,2024-06
552,_tt_180,2024-06
553,_tt_180,2024-06
554,_lemari_sudut,2024-06
555,_tt_140,2024-06
555,_tt_160,2024-06
556,_tt_160,2024-06
557,_tt_180,2024-06
558,_tt_120,2024-06
558,_tt_180,2024-06
559,_tt_100,2024-06
560,_tt_L180R,2024-06
561,_tt_180,2024-06
562,_tt_200,2024-06
563,_tt_180,2024-06
564,_tt_180,2024-06
565,_tt_160,2024-06
566,_tt_160,2024-06
567,_tt_180,2024-06
568,_mm_nakas,2024-06
568,_mm_nakas,2024-06
569,_tt_A+B120,2024-06
570,_tt_160,2024-06
571,_tt_120,2024-06
571,_tt_120,2024-06
572,_tt_180,2024-06
573,_tt_180,2024-06
574,_tt_180,2024-06
575,_set_sudut,2024-06
576,_tt_L120L,2024-06
577,_tt_120,2024-06
578,_tt_140,2024-06
578,_mm_kamar_rotan,2024-06
579,_tt_180,2024-06
580,_tt_180,2024-06
581,_tt_160,2024-06
582,_tt_80,2024-06
582,_tt_90,2024-06
583,_tt_120,2024-06
584,_tt_160,2024-06
585,_tt_200,2024-06
586,_tt_140,2024-06
587,_set_tamu_sedan_211,2024-06
588,_tt_200,2024-06
589,_tt_160,2024-06
590,_tt_200,2024-06
591,_tt_180,2024-06
592,_meja_tv_150,2024-06
593,_tt_160,2024-06
594,_tt_L160R,2024-06
595,_tt_160,2024-06
596,_rak_sepatu+kursi,2024-06
597,_tt_180,2024-06
598,_mm_tv_120,2024-06
599,_mm_tv_2x3_120,2024-06
599,_mm_tv_2x3_120,2024-06
599,_mm_tv_2x3_120,2024-06
599,_tt_200,2024-06
599,_tt_200,2024-06
599,_tt_200,2024-06
600,_Lm_70x110,2024-06
601,_tt_160,2024-06
602,_tt_L160,2024-06
603,_tt_180,2024-06
604,_tt_140,2024-06
605,_Lm_P2G+L,2024-06
605,_mm_kamar_rotan,2024-06
605,_tt_180,2024-06
605,_tt_200,2024-06
605,_set_tamu_betawi_21,2024-06
